Montague,NORTH
Brewster,FAR_WEST
Eastland,NORTH_C
Lee,SOUTH_C
Willacy,SOUTHERN
Cass,NONE_E
Hood,NORTH_C
Tarrant,NORTH_C
Anderson,EAST
Foard,NORTH
Polk,NONE_E
Uvalde,WEST
Colorado,SOUTH_C
McCulloch,WEST
Rockwall,NORTH_C
Crane,FAR_WEST
Jasper,NONE_E
Milam,SOUTH_C
Bowie,NONE_E
Hall,NORTH
Kerr,WEST
Wheeler,NORTH
Dickens,NORTH
Hidalgo,SOUTHERN
Shackelford,NORTH_C
Callahan,NORTH_C
Fayette,SOUTH_C
Parker,NORTH_C
Zapata,SOUTHERN
Coleman,WEST
Loving,FAR_WEST
Refugio,SOUTHERN
Bailey,NONE_N
Irion,WEST
Medina,SOUTH_C
Webb,SOUTHERN
Garza,NORTH
Kendall,SOUTH_C
Schleicher,WEST
Delta,EAST
Hamilton,NORTH_C
Nacogdoches,EAST
Burnet,SOUTH_C
Erath,NORTH_C
Lampasas,WEST
Wood,EAST
Clay,NORTH
Lipscomb,NONE_N
Stonewall,NORTH
Armstrong,NONE_N
Hudspeth,NONE_W
Reagan,FAR_WEST
Tyler,NONE_E
Frio,SOUTHERN
Martin,FAR_WEST
San Jacinto,NONE_E
Cooke,NORTH
Johnson,NORTH_C
Moore,NONE_N
Brooks,SOUTHERN
Grimes,EAST
Knox,NORTH
Wilson,SOUTH_C
Chambers,COAST
Hays,SOUTH_C
Starr,SOUTHERN
Angelina,EAST
Franklin,EAST
Orange,NONE_E
Tom Green,WEST
Comanche,NORTH_C
McMullen,SOUTHERN
Real,WEST
Bell,NORTH_C
Jefferson,NONE_E
Mitchell,WEST
Waller,COAST
Gray,NONE_N
King,NORTH
Wilbarger,NORTH
Dallas,NORTH_C
Harrison,NONE_E
Sherman,NONE_N
Camp,NONE_E
Edwards,WEST
Nueces,SOUTHERN
Collingsworth,NORTH
Leon,EAST
Terrell,FAR_WEST
Bastrop,SOUTH_C
Jackson,COAST
Presidio,FAR_WEST
Van Zandt,EAST
Glasscock,FAR_WEST
Kent,NORTH
Rusk,EAST
Crosby,NORTH
Hardeman,NORTH
Newton,NONE_E
Brazos,EAST
Duval,SOUTHERN
Lavaca,SOUTH_C
Young,NORTH_C
Carson,NONE_N
Hockley,NONE_N
Swisher,NONE_N
Austin,SOUTH_C
Floyd,NORTH
Pecos,FAR_WEST
Upton,FAR_WEST
Galveston,COAST
Lynn,NONE_N
Robertson,EAST
Cottle,NORTH
Karnes,SOUTH_C
Midland,FAR_WEST
Bosque,NORTH_C
Hale,NONE_N
Lamb,NONE_N
Wharton,COAST
DeWitt,SOUTH_C
Henderson,EAST
Sterling,WEST
Calhoun,COAST
Fannin,NORTH
Panola,NONE_E
Trinity,NONE_E
Coke,WEST
Llano,WEST
Reeves,FAR_WEST
Blanco,SOUTH_C
Hutchinson,NONE_N
Maverick,SOUTHERN
Washington,SOUTH_C
Gregg,NONE_E
Kaufman,NORTH_C
San Saba,WEST
Deaf Smith,NONE_N
Haskell,NORTH
Motley,NORTH
Burleson,SOUTH_C
El Paso,NONE_W
Oldham,NONE_N
Wise,NORTH_C
Childress,NORTH
Limestone,NORTH_C
Throckmorton,NORTH_C
Archer,NORTH
Howard,FAR_WEST
Randall,NONE_N
Walker,EAST
Freestone,EAST
Marion,NONE_E
San Augustine,NONE_E
Dallam,NONE_N
Jim Wells,SOUTHERN
Montgomery,COAST
Briscoe,NORTH
Ector,FAR_WEST
Kleberg,SOUTHERN
Williamson,SOUTH_C
Castro,NONE_N
Hopkins,EAST
Somervell,NORTH_C
Andrews,FAR_WEST
Fort Bend,COAST
Potter,NONE_N
Titus,EAST
Comal,SOUTH_C
McLennan,NORTH_C
Runnels,WEST
Bee,SOUTHERN
Jeff Davis,FAR_WEST
Mills,NORTH_C
Brazoria,COAST
Gonzales,SOUTH_C
Kimble,WEST
Wichita,NORTH
Dimmit,SOUTHERN
Harris,COAST
Shelby,NONE_E
Cameron,SOUTHERN
Fisher,WEST
Nolan,WEST
Zavala,SOUTHERN
Collin,NORTH_C
Lubbock,NONE_N
Taylor,WEST
Bandera,SOUTH_C
Jack,NORTH_C
Menard,WEST
Val Verde,WEST
Gillespie,WEST
Kenedy,SOUTHERN
Scurry,WEST
Crockett,FAR_WEST
Hansford,NONE_N
Navarro,NORTH_C
Caldwell,SOUTH_C
Donley,NORTH
La Salle,SOUTHERN
Yoakum,NONE_N
Cochran,NONE_N
Hill,NORTH_C
Sutton,WEST
Atascosa,SOUTHERN
Hunt,NORTH_C
Parmer,NONE_N
Upshur,NONE_E
Gaines,NONE_N
Mason,WEST
Roberts,NONE_N
Coryell,NORTH_C
Jones,WEST
Morris,NONE_E
Borden,FAR_WEST
Guadalupe,SOUTH_C
Lamar,NORTH
Winkler,FAR_WEST
Denton,NORTH_C
Hemphill,NONE_N
Stephens,NORTH_C
Aransas,SOUTHERN
Falls,NORTH_C
Palo Pinto,NORTH_C
Travis,SOUTH_C
Concho,WEST
Live Oak,SOUTHERN
Red River,NORTH
Bexar,SOUTH_C
Jim Hogg,SOUTHERN
Matagorda,COAST
Ward,FAR_WEST
Grayson,NORTH
Kinney,WEST
San Patricio,SOUTHERN
Dawson,FAR_WEST
Hartley,NONE_N
Smith,EAST
Brown,NORTH_C
Ellis,NORTH_C
Ochiltree,NONE_N
Cherokee,EAST
Liberty,NONE_E
Terry,NONE_N
Baylor,NORTH
Houston,EAST
Rains,EAST
Victoria,COAST
Goliad,SOUTHERN
Madison,EAST
Sabine,NONE_E
Culberson,FAR_WEST
Hardin,NONE_E
